Name	Effect Description	Duration	Additional Notes	
Earthquake	Intense tremor rips through the ground	1 minute	Concentration required	
Potion of Excessive Politeness	You can't help but be extremely polite to everyone, even enemies	1 hour	N/A	
Chatter Teeth	Your teeth chatter uncontrollably, making stealth nearly impossible	10 minutes	N/A	
Dancing Feet	Can't stop dancing whenever music is played	30 minutes	N/A	
Invisible Hair	Your hair becomes invisible, potentially leading to some odd looks	1 hour	N/A	
Giggle Fits	You burst into giggles at inappropriate times	1 hour	N/A	
Squeaky Voice	Your voice becomes high-pitched and squeaky	1 hour	N/A	
Color Change	Your skin changes to a random, vibrant color	24 hours	N/A	
Reverse Hiccups	You hiccup, but it's inward, causing a strange gulp	30 minutes	N/A	
Magnetic Personality	Small metal objects stick to you, literally	1 hour	N/A	
Bubble Beard	Bubbles form in your beard or around your mouth when you speak	1 hour	N/A	
Chicken Infatuation	Chickens find you irresistible and follow you everywhere	1 day	N/A	
Uncontrollable Rhyming	You can only speak in rhymes, no matter how hard you try	1 hour	N/A	
Eternal Echo	Everything you say is followed by an echo, even indoors	1 hour	N/A	
Butter Fingers	You become incredibly clumsy, dropping things frequently	1 hour	N/A	
Jelly Bones	Your limbs become extremely flexible, comically flailing about	30 minutes	N/A	
Antenna Ears	Your ears become long and antenna-like, wiggling independently	1 hour	N/A	
Sparkle Sweat	Your sweat becomes glittery, leaving a trail of sparkles behind	1 hour	N/A	
Frog Tongue	Your tongue becomes long and sticky like a frog's	1 hour	Can catch small items with tongue	
Backwards Speech	Your speech is reversed, sounding like gibberish to others	1 hour	N/A	
Size Shuffle	Your size randomly increases or decreases slightly at inopportune times	1 hour	N/A	
Bubble Trail	You leave a trail of harmless bubbles behind as you move	1 hour	N/A	
Puppy Pheromones	Puppies in the vicinity are drawn to you and want to play	1 day	N/A	
Uncontrollable Cartwheels	Instead of walking, you feel compelled to do cartwheels	30 minutes	N/A	
Laugh Track	A laugh track plays from nowhere after anything you say	1 hour	N/A	
Duck Quacks	Every step you take makes a duck quack sound	1 hour	N/A	
Inflatable Arms	Your arms inflate, bobbing around uncontrollably	30 minutes	N/A	
Mirror Morph	Your face temporarily takes on the appearance of the last person you looked at	1 hour	N/A	
Snail Pace	Your movement speed is reduced to a snail's pace, literally	10 minutes	N/A	
Talking Bellybutton	Your bellybutton gains the ability to speak, often voicing its opinions	1 hour	N/A	
Musical Burps	Every burp is accompanied by a musical note	1 hour	N/A	
Quantum Quirks	You randomly flicker between two locations 5 feet apart, never quite sure where you'll end up	10 minutes	N/A	
Reverse Blinking	You blink with your eyes open instead of closed, confusing everyone around	1 hour	N/A	
Dramatic Sound Effects	Your movements are accompanied by overly dramatic sound effects, from dramatic dun-dun-duns to slapstick slips	1 hour	N/A	
Spaghetti Limbs	Your arms temporarily become as flexible and wobbly as cooked spaghetti, flailing comically with every movement	30 minutes	N/A	
